A;T;S;R;H;F;Q;P;D;L;X;W;C;V
6.2;203;0.46;7.5;0.045;46;6;3.26;0.99573;9.2;0.25;0.24;0.45;0.28
6.2;215;0.6;11.2;0.058;68;6;3.19;0.99656;9.4;0.25;0.28;0.49;0.3
5.6;67;0.48;0.8;0.043;20;6;3.28;0.99112;9.9;0.11;0.46;0.29;0.175
6.9;145;0.52;1.4;0.032;13;5;3.07;0.99214;9.8;0.25;0.86;0.36;0.34
6.9;148;0.49;4.7;0.029;34;7;3.36;0.99165;12.3;0.33;0.79;0.3;0.34
7.1;37;0.52;3.1;0.018;15;7;3.02;0.99004;11.9;0.33;0.17;0.3;0.12
7.1;170;0.64;4;0.038;33;6;3.27;0.99463;10.2;0.11;0.86;0.29;0.32
7.3;224;0.56;11.3;0.034;61;6;3.14;0.99683;9.5;0.20;0.95;0.29;0.51
7.1;37;0.52;3.1;0.018;15;7;3.02;0.99004;11.9;0.14;0.67;0.3;0.12
6.3;216;0.5;8.1;0.04;67;5;3.24;0.99596;9.2;0.17;0.22;0.55;0.24
7.5;174;0.49;14.8;0.054;28;5;3.18;0.99898;9.7;0.50;0.01;0.23;0.41
6.5;138;0.6;1.4;0.029;35;7;3.36;0.99114;11.5;0.50;0.05;0.33;0.18
7.3;162;0.38;8.1;0.121;32;8;3.17;0.99508;10.4;0.17;0.72;0.24;0.17
8.2;174;0.41;3.5;0.053;41;5;3.22;0.99306;11.6;0.10;0.68;0.38;0.2
7.5;174;0.49;14.8;0.054;28;5;3.18;0.99898;9.7;0.11;0.10;0.23;0.41
7.3;162;0.38;8.1;0.121;32;8;3.17;0.99508;10.4;0.33;0.45;0.24;0.17
6.5;138;0.6;1.4;0.029;35;7;3.36;0.99114;11.5;0.17;0.86;0.33;0.18
7.3;108;0.51;1.5;0.036;29;6;3.27;0.99342;10.2;0.10;0.81;0.35;0.16
6.4;109;0.5;1.5;0.037;27;6;3.38;0.99345;9.8;0.14;0.91;0.37;0.16
6.6;158;0.47;12.8;0.044;26;5;3.24;0.99772;9;0.13;0.82;0.13;0.42
5.8;163;0.59;1.6;0.036;57;6;3.38;0.99239;10.5;0.17;0.41;0.12;0.3
6.7;178;0.38;7.1;0.049;8;4;3.16;0.99502;9.4;0.10;0.72;0.27;0.54
6.7;178;0.38;7.1;0.049;8;4;3.16;0.99502;9.4;0.14;0.11;0.27;0.54
6.4;149;0.34;11.2;0.046;53;5;3.21;0.99479;10.8;0.14;0.11;0.3;0.22
6.8;95;0.46;1.7;0.043;19;7;3.17;0.99207;10.7;0.20;0.42;0.3;0.23
9;162;0.5;6.7;0.029;21;6;3.08;0.99497;10.6;0.14;0.77;0.34;0.26
6.5;110;0.42;17.3;0.046;15;6;3.15;0.99828;9.2;0.25;0.82;0.25;0.23
5.9;142;0.44;8.6;0.032;30;6;3.28;0.99542;9.5;0.10;0.67;0.14;0.28
5.9;142;0.44;8.6;0.032;30;6;3.28;0.99542;9.5;0.25;0.51;0.14;0.28
6.2;111;0.5;1.5;0.028;20;5;3.41;0.99228;10;1.00;0.59;0.18;0.27
9;177;0.47;12.1;0.03;34;5;3.13;0.99706;10.6;0.14;0.47;0.34;0.29
9;162;0.5;6.7;0.029;21;6;3.08;0.99497;10.6;0.10;0.17;0.34;0.26
8.9;166;0.48;10.7;0.029;19.5;5;3.13;0.99669;10.6;0.33;0.22;0.34;0.27
6.5;110;0.42;17.3;0.046;15;6;3.15;0.99828;9.2;0.14;0.08;0.25;0.23
6.9;117;0.48;1.8;0.036;28;6;3.24;0.99269;11;0.14;0.42;0.3;0.32
7.2;159;0.53;1.4;0.041;17;6;3.25;0.99196;11.2;0.33;0.96;0.24;0.22
6.7;175;0.54;7.5;0.046;26;5;3.32;0.99662;9.6;0.20;0.26;0.38;0.5
6.2;128;0.48;4.8;0.052;27;5;3.21;0.99475;9.4;0.13;0.47;0.14;0.33
6.3;209;0.53;7.1;0.045;62;6;3.2;0.99544;9.5;0.14;0.00;0.42;0.26
7.5;188;0.62;16.9;0.052;51;5;3.09;0.99944;9.3;0.20;0.95;0.47;0.2
6.2;128;0.48;4.8;0.052;27;5;3.21;0.99475;9.4;1.00;0.16;0.14;0.33
6.3;209;0.53;7.1;0.045;62;6;3.2;0.99544;9.5;0.14;0.61;0.42;0.26
6.6;110;0.46;11.3;0.046;8;5;3.07;0.9966;9.4;0.20;0.07;0.52;0.36
6.3;146;0.72;1.1;0.043;63;7;3.13;0.99066;11.2;0.10;0.07;0.42;0.13
6.4;150;0.73;1.2;0.043;67;7;3.14;0.9907;11.2;0.13;0.41;0.44;0.15
6.3;146;0.72;1.1;0.043;63;7;3.13;0.99066;11.2;1.00;0.68;0.42;0.13
7.6;170;0.53;12.9;0.033;54;5;3;0.998;8.8;0.10;0.06;0.64;0.23
6.4;150;0.73;1.2;0.043;67;7;3.14;0.9907;11.2;0.25;0.01;0.44;0.15
6.3;146;0.72;1.1;0.043;63;7;3.13;0.99066;11.2;0.33;0.29;0.42;0.13
5.7;137;0.42;1.2;0.079;17;5;3.2;0.99307;9.4;0.14;0.64;0.65;0.255
6.9;103;0.42;2.3;0.03;11;6;3.06;0.99106;11.1;0.50;0.72;0.26;0.32
6.9;131;0.46;10;0.052;36;5;3.08;0.99696;9.6;0.13;0.94;0.22;0.28
6.9;103;0.42;2.3;0.03;11;6;3.06;0.99106;11.1;0.11;0.56;0.26;0.32
5.7;137;0.42;1.2;0.079;17;5;3.2;0.99307;9.4;0.13;0.88;0.65;0.255
6.6;160;0.45;1.4;0.037;28;6;2.95;0.99167;10.6;0.50;0.95;0.16;0.41
7.3;240;0.45;14.9;0.048;59;5;3.13;0.99902;8.9;0.11;0.98;0.16;0.37
6.9;80;0.46;1.8;0.021;17;7;3.15;0.98992;12.3;0.33;0.69;0.24;0.21
6.6;132;0.46;1.8;0.028;39;5;3.34;0.99182;11.4;0.14;0.10;0.28;0.24
6.8;207;0.49;7;0.043;60;6;3.16;0.99556;9.6;0.14;0.25;0.36;0.28
6.6;135;0.59;8.6;0.034;25;6;3.33;0.99582;10.3;0.10;0.68;0.24;0.24
6.6;132;0.46;1.8;0.028;39;5;3.34;0.99182;11.4;1.00;0.11;0.28;0.24
7;80;0.36;1.1;0.032;29;6;3.23;0.98972;12.1;0.14;0.60;0.32;0.16
7;56;0.45;1.3;0.026;10;5;3.46;0.99352;9.9;1.00;0.98;0.28;0.14
6.3;185;0.49;4.9;0.035;31;5;3.15;0.9946;9.7;0.11;0.86;0.36;0.34
6.8;154;0.52;1.9;0.043;70;5;3.18;0.99273;10.5;1.00;0.02;0.24;0.26
6.7;182;0.44;10.4;0.038;85;6;3.04;0.99628;8.9;0.17;0.80;0.42;0.17
6.5;227;0.5;10;0.039;74;5;3.18;0.99582;9.4;1.00;0.82;0.4;0.27
6.7;206;0.5;8.6;0.037;63;5;3.18;0.99553;9.6;0.50;0.83;0.36;0.25
5.8;104;0.56;1.7;0.014;45;7;3.4;0.98914;12.6;0.20;0.69;0.27;0.3
6.4;106;0.37;1.7;0.156;49;6;3.1;0.99354;9.2;0.13;0.58;0.56;0.28
7.7;174;0.5;18.95;0.053;36;5;3.2;0.99976;10.4;0.11;0.83;0.26;0.3
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.20;0.95;0.3;0.18
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.33;0.21;0.3;0.18
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.50;0.92;0.3;0.18
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.10;0.70;0.3;0.18
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;1.00;0.46;0.3;0.18
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.13;0.95;0.3;0.18
5.1;89;0.43;0.7;0.039;15;6;3.22;0.9919;9.2;0.33;0.12;0.25;0.14
6.8;171;0.52;12.8;0.062;19;7;3;0.99808;9;0.33;0.36;0.3;0.18
7.2;154;0.48;1.4;0.068;25;4;3.2;0.99499;9.7;0.33;0.25;0.1;0.615
6.9;132;0.42;13.3;0.05;47;6;3.34;0.99655;10.1;0.13;0.92;0.28;0.13
6.7;152;0.64;8.5;0.059;24;7;3.46;0.99615;11;0.50;0.54;0.3;0.34
7.3;144;0.55;1.5;0.038;32;5;3.2;0.99296;10.8;0.17;0.41;0.29;0.32
6.3;147;0.38;11.7;0.048;49;5;3.22;0.99482;10.8;0.14;0.94;0.29;0.21
5.4;107;0.88;5;0.028;12;7;3.48;0.99079;13.5;0.10;0.95;0.13;0.5
8.2;167;0.39;1.2;0.042;18;5;3.24;0.99366;10.6;0.25;0.64;0.34;0.52
7.8;208;0.64;2.1;0.046;28;5;3.23;0.99434;9.8;0.25;0.75;0.31;0.28
6.4;115;0.7;1.4;0.023;56;6;3.18;0.98958;11.7;0.20;0.34;0.34;0.22
7.8;208;0.64;2.1;0.046;28;5;3.23;0.99434;9.8;0.11;0.86;0.31;0.28
6.9;185;0.6;16;0.034;58;6;3.34;0.99938;9;0.20;0.62;0.27;0.32
6.8;132;0.74;1.1;0.042;51;7;3.18;0.99059;11.3;1.00;0.81;0.42;0.11
6.2;185;0.61;15.3;0.031;64;5;3.31;0.99835;9.4;0.11;0.28;0.32;0.26
6.4;115;0.7;1.4;0.023;56;6;3.18;0.98958;11.7;0.50;0.08;0.34;0.22
6.7;107;0.63;2.8;0.025;37;7;3.31;0.99159;11.3;0.13;0.62;0.29;0.3
6.7;107;0.63;2.8;0.025;37;7;3.31;0.99159;11.3;0.20;0.40;0.29;0.3
7.1;28;0.36;0.9;0.019;4;6;3.2;0.98931;12;0.50;0.86;0.3;0.2
7.2;157;0.49;2.5;0.028;22;6;3.48;0.9938;10.6;0.17;0.19;0.36;0.2
8.9;202;0.46;8.1;0.024;47;6;3.13;0.99558;10.8;0.25;0.23;0.33;0.26
7.5;209;0.46;8.2;0.024;53;6;3.12;0.99563;10.8;0.50;0.36;0.32;0.25
7.1;28;0.36;0.9;0.019;4;6;3.2;0.98931;12;0.50;0.10;0.3;0.2
6.3;177;0.67;11.1;0.053;44;5;3.18;0.99691;9.4;0.33;0.24;0.46;0.27
6.5;219;0.5;7.8;0.038;61;5;3.19;0.9959;9.4;0.13;0.44;0.39;0.3
6.7;107;0.63;2.8;0.025;37;7;3.31;0.99159;11.3;0.17;0.83;0.29;0.3
6.6;140;0.4;10.1;0.05;29;5;3.07;0.99628;9.4;0.11;0.58;0.52;0.36
6.15;80;0.47;3.2;0.021;20;5;3.39;0.99076;12;0.14;0.79;0.37;0.21
6.5;129;0.72;14.2;0.039;47;7;3.28;0.99678;10.3;0.14;0.78;0.41;0.18
6.5;129;0.72;14.2;0.039;47;7;3.28;0.99678;10.3;0.20;0.77;0.41;0.18
6.5;129;0.72;14.2;0.039;47;7;3.28;0.99678;10.3;0.14;0.45;0.41;0.18
6.6;126;0.38;2.9;0.026;48;7;3.22;0.99089;11.3;0.13;0.57;0.21;0.26
6.6;150;0.47;6;0.063;31;6;3.1;0.99537;9.4;0.13;0.46;0.35;0.35
6.5;144;0.38;20.4;0.041;40;5;3.14;1.0002;8.7;0.10;0.25;0.28;0.28
6.6;140;0.4;10.1;0.05;29;5;3.07;0.99628;9.4;0.11;0.91;0.52;0.36
6.6;126;0.38;2.9;0.026;48;7;3.22;0.99089;11.3;0.25;0.61;0.21;0.26
6.5;129;0.72;14.2;0.039;47;7;3.28;0.99678;10.3;0.25;0.21;0.41;0.18
6.15;80;0.47;3.2;0.021;20;5;3.39;0.99076;12;0.20;0.85;0.37;0.21
4.5;159;0.42;0.95;0.033;89;5;3.34;0.99332;8;0.13;0.36;0.21;0.19
8;136;0.51;1.7;0.033;36;7;3.44;0.99316;10.4;0.10;0.74;0.26;0.24
7.8;128;0.41;1.7;0.029;39;7;3.37;0.99272;10.7;0.14;0.88;0.23;0.17
7;219;0.46;9;0.03;42;6;3.47;0.99636;10.2;1.00;0.26;0.24;0.24
5.8;197;0.43;1.3;0.044;72;5;3.56;0.99202;10.9;0.14;0.30;0;0.6
5.9;109;0.36;1.4;0.027;23;6;3.3;0.99148;10.5;0.17;0.38;0.26;0.445
6.7;100;0.39;2.4;0.012;36;7;3.26;0.99064;11.7;0.33;0.13;0.28;0.28
6.8;186;0.45;16;0.065;61;5;3.13;0.99884;8.6;0.14;0.25;0.2;0.44
7.2;174;0.44;11.4;0.034;40;5;3.2;0.99773;9;0.11;0.83;0.27;0.24
8.7;191;0.88;14.35;0.044;27;5;2.96;1.00013;8.7;1.00;0.24;0.73;0.31
8.2;87;0.47;2.1;0.062;26;6;3.1;0.98974;12.8;1.00;0.27;0.26;0.32
7.2;174;0.44;11.4;0.034;40;5;3.2;0.99773;9;0.20;0.69;0.27;0.24
8.7;191;0.88;14.35;0.044;27;5;2.96;1.00013;8.7;0.50;0.95;0.73;0.31
7.5;104;0.53;1.1;0.023;42;6;3.28;0.99112;11.8;0.10;0.13;0.38;0.13
9.2;84;0.55;1.1;0.034;36;6;3.05;0.99136;11.6;0.10;0.56;0.37;0.14
7.4;89;0.61;1.2;0.028;28;6;3.14;0.99132;11.8;0.25;0.40;0.37;0.2
6.1;158;0.37;15.8;0.042;55;5;3.24;0.99642;10.6;0.10;0.84;0.35;0.15
7.6;91;0.8;5.2;0.066;14;5;3.17;0.99488;9.7;0.33;0.49;0.4;0.23
8.1;151;0.47;5.2;0.047;24;5;3.22;0.99527;10.3;0.20;0.52;0.22;0.33
7.15;178;0.44;9.6;0.119;56;6;3.15;0.99578;10.2;0.20;0.13;0.24;0.17
6.7;113;0.44;5.2;0.048;38;7;3.33;0.99352;10.1;0.14;0.03;0.3;0.12
5.7;71;0.68;1.2;0.046;9;7;3.7;0.99199;10.9;0.10;0.31;0.36;0.18
5.8;127;0.51;0.8;0.037;43;5;3.24;0.99198;9.3;0.10;0.43;0.28;0.15
6.6;144;0.54;14.45;0.057;29;6;3.33;0.99756;10.2;0.14;0.44;0.29;0.23
7.15;178;0.44;9.6;0.119;56;6;3.15;0.99578;10.2;0.13;0.63;0.24;0.17
7;162;0.53;6.9;0.066;43;5;3.11;0.99561;9.5;0.10;0.38;0.39;0.34
6.4;146;0.4;3.4;0.069;25;5;3.18;0.99347;9.3;0.13;0.45;0.26;0.68
7.3;80;0.34;2.3;0.018;45;7;3.06;0.98936;12.9;0.11;0.87;0.31;0.22
6.4;148;0.46;11;0.042;45;5;3.14;0.99786;8.7;0.25;0.12;0.27;0.28
6.9;303;0.57;5.95;0.081;76;5;3.4;0.99705;9.4;0.20;0.53;0.22;0.4
6.8;204;0.69;5.1;0.034;71;5;3.23;0.9942;10.1;0.25;0.77;0.23;0.19
7.1;196;0.78;5.4;0.039;60;4;3.19;0.9948;10;0.25;0.04;0.24;0.23
6.45;129;0.69;1.2;0.05;51;7;3.27;0.99116;11.1;0.13;0.60;0.42;0.14
6.5;158;0.7;12.6;0.052;65;7;3.26;0.99688;10.3;0.13;0.20;0.44;0.15
7.1;73;0.41;1;0.033;27;6;3.24;0.98974;12.2;0.25;0.27;0.34;0.15
6.7;156;0.48;6.6;0.067;35;6;3.11;0.99542;9.3;0.25;0.52;0.34;0.33
7.2;178;0.56;1.5;0.041;46;6;3.19;0.99154;11.3;1.00;0.07;0.26;0.3
7;110;0.65;1;0.043;46;6;3.04;0.99118;10.8;0.50;0.10;0.33;0.23
8;86;0.39;1.1;0.033;15;8;2.98;0.99044;11.2;0.14;0.16;0.25;0.13
6.2;91;0.45;6.6;0.03;36;7;3.32;0.9914;12.5;0.14;0.13;0.34;0.21
8.3;122;0.49;8.2;0.05;15;5;3.39;0.9979;9.3;0.17;0.51;0.41;0.4
5.9;142;0.41;2;0.03;38;7;3.4;0.98892;12.9;0.14;0.24;0.31;0.34
6.6;131;0.45;1.4;0.039;21;7;3.2;0.99114;11.2;0.50;0.47;0.25;0.12
9.6;120;1;2;0.039;21;6;3;0.99188;12.6;0.11;0.35;0.21;0.655
6.8;179;0.49;7.5;0.046;45;5;3.2;0.99583;9.3;0.33;0.76;0.4;0.26
5.9;142;0.41;2;0.03;38;7;3.4;0.98892;12.9;0.14;0.87;0.31;0.34
5.9;142;0.41;2;0.03;38;7;3.41;0.98892;12.9;0.25;0.39;0.3;0.3
7;120;0.36;13.3;0.049;46;7;3.2;0.99704;9.5;0.50;0.21;0.3;0.15
7.9;24;0.36;2.85;0.037;5;6;3.19;0.9911;11.9;0.14;0.58;0.31;0.37
7.2;120;0.66;5.6;0.032;23;7;2.93;0.99334;10.3;0.17;0.20;0.25;0.35
7.2;120;0.66;5.6;0.033;23;7;2.92;0.99334;10.3;0.11;0.42;0.24;0.32
7.6;93;0.68;1;0.031;33;6;3.06;0.99094;11.2;0.25;0.17;0.33;0.1
6.2;150;0.31;3.2;0.03;32;6;3.18;0.99014;12;0.20;0.12;0.31;0.25
7.1;144;0.4;1;0.042;21;5;3.13;0.99304;9.6;0.13;0.07;0.17;0.31
7.6;110;0.42;7.1;0.041;29;6;3.2;0.99652;9.2;1.00;0.94;0.28;0.18
8;119;0.33;2.4;0.029;52;6;3.03;0.98944;12.9;0.14;0.77;0.29;0.17
7.2;149;0.59;11.2;0.061;46;6;2.99;0.99772;9.3;0.17;0.19;0.27;0.19
7.6;136;0.44;9.5;0.03;15;6;3.1;0.99367;12.1;0.14;0.85;0.25;0.32
7.1;144;0.4;1;0.042;21;5;3.13;0.99304;9.6;1.00;0.80;0.17;0.31
6.6;128;0.48;1.8;0.026;35;6;3.37;0.99183;11.2;0.14;0.64;0.29;0.21
7;98;0.37;2.6;0.029;28;7;3.11;0.99126;11.2;0.14;0.02;0.36;0.16
8;119;0.33;2.4;0.029;52;6;3.03;0.98944;12.9;1.00;0.00;0.29;0.17
6.6;187;0.46;8;0.042;56;5;3.21;0.99577;9.2;0.33;0.29;0.38;0.24
7.2;149;0.59;11.2;0.061;46;6;2.99;0.99772;9.3;0.10;0.77;0.27;0.19
7.6;110;0.42;7.1;0.041;29;6;3.2;0.99652;9.2;0.25;0.28;0.28;0.18
6.9;124;0.5;3.3;0.041;26;6;3.18;0.99428;9.3;0.20;0.14;0.25;0.3
6.2;108;0.36;10.3;0.03;26;6;3.2;0.99388;10.7;0.11;0.82;0.27;0.28
6.9;166;0.54;1.2;0.024;20;6;3.05;0.99208;9.8;0.50;0.70;0.32;0.31
6.7;143;0.54;1.6;0.036;28;6;3.3;0.99256;10.3;0.25;0.76;0.25;0.23
6.2;108;0.36;10.3;0.03;26;6;3.2;0.99388;10.7;0.17;0.73;0.27;0.28
5.7;121;0.38;9.65;0.025;26;6;3.28;0.9925;11.3;0.13;0.14;0.28;0.23
6.5;182;0.49;16.4;0.048;36;6;3.02;0.99904;8.8;0.33;0.40;0.5;0.22
7;104;0.5;1.5;0.043;16;5;3.18;0.99216;10.8;0.17;0.62;0.37;0.18
6.9;166;0.54;1.2;0.024;20;6;3.05;0.99208;9.8;0.11;0.84;0.32;0.31
6.9;124;0.5;3.3;0.041;26;6;3.18;0.99428;9.3;1.00;0.78;0.25;0.3
6.5;72;0.6;5;0.027;15;7;3.26;0.99165;11.5;0.13;0.57;0.31;0.46
6.5;133;0.41;16.3;0.038;43;5;3.26;0.99924;8.8;0.33;0.33;0.36;0.23
6.5;133;0.41;16.3;0.038;43;5;3.26;0.99924;8.8;1.00;0.54;0.36;0.23
6.5;133;0.41;16.3;0.038;43;5;3.26;0.99924;8.8;0.11;0.16;0.36;0.23
6.6;201;0.38;6.5;0.17;68;6;3.19;0.9956;9.4;0.20;0.53;0.38;0.26
6.7;200;0.38;6.4;0.171;64;6;3.19;0.99562;9.4;0.13;0.96;0.39;0.26
7.5;209;0.63;10.2;0.045;59;6;3.16;0.9972;9.6;0.17;0.51;0.39;0.28
6.5;133;0.41;16.3;0.038;43;5;3.26;0.99924;8.8;0.11;0.21;0.36;0.23
6.8;189;0.48;7.4;0.044;56;6;3.22;0.9958;9.3;0.11;0.81;0.42;0.23
7.8;184;0.75;13.7;0.044;66;5;3.22;0.99976;8.9;0.33;0.36;0.34;0.25
7.8;184;0.75;13.7;0.044;66;5;3.22;0.99976;8.9;0.25;0.28;0.34;0.25
5.6;155;0.43;1.3;0.049;25;5;3.74;0.99296;10;0.10;0.25;0.22;0.2
6.4;182;0.46;7.4;0.045;47;5;3.24;0.9957;9.1;0.17;0.20;0.44;0.21
6.8;189;0.48;7.4;0.044;56;6;3.22;0.9958;9.3;0.25;0.02;0.42;0.23
6.8;188;0.5;7.45;0.043;59;6;3.2;0.99579;9.4;0.10;0.15;0.37;0.24
7.8;179;0.6;7.2;0.04;46;6;3.14;0.99541;10.1;1.00;0.30;0.28;0.25
7.8;184;0.75;13.7;0.044;66;5;3.22;0.99976;8.9;0.17;0.83;0.34;0.25
6.8;143;0.4;10.4;0.046;59;6;3.2;0.99518;10.8;0.13;0.29;0.29;0.16
5.2;69;0.54;1.1;0.028;18;6;3.24;0.99168;10;1.00;0.01;0.29;0.28
7.5;160;0.38;6.5;0.029;53;6;3.03;0.99276;10.9;0.20;0.40;0.31;0.18
7.5;92;0.38;4.6;0.027;29;7;3.15;0.99085;12;0.33;0.46;0.3;0.26
8.2;171;0.8;13.9;0.043;22;5;2.99;0.99873;9.3;0.13;0.59;0.64;0.37
7.6;101;0.62;5.2;0.03;32;7;3.22;0.99172;12.3;0.10;0.04;0.27;0.4
7.5;129;0.56;1.7;0.038;29;6;3.45;0.99312;10.4;0.20;0.37;0.25;0.26
7.5;160;0.38;6.5;0.029;53;6;3.03;0.99276;10.9;0.17;0.30;0.31;0.18
6.9;153;0.42;16.4;0.045;62;5;3.22;0.9972;10.5;0.20;0.03;0.32;0.23
5.3;91;0.5;3.6;0.036;22;6;3.41;0.99278;9.8;0.50;0.86;0.31;0.2
6.5;121;0.46;1.5;0.041;34;6;3.06;0.99092;10.5;0.20;0.92;0.31;0.17
6.5;213;0.51;12.4;0.051;86;6;3.16;0.9962;9.9;0.14;0.46;0.28;0.35
6.5;79;0.69;1.7;0.035;24;7;3.27;0.99053;11.4;0.25;0.03;0.31;0.29
6.8;190;0.51;6.2;0.06;41;5;3.18;0.99858;9.2;0.11;0.57;0.22;0.3
7.9;173;0.53;6.2;0.051;30;5;3.09;0.9984;9.7;0.33;0.87;0.36;0.51
7.9;135;0.51;2.6;0.049;13;5;3.09;0.99335;10;1.00;0.56;0.34;0.51
6.5;79;0.69;1.7;0.035;24;7;3.27;0.99053;11.4;0.17;0.97;0.31;0.29
7.1;141;0.49;9.3;0.048;50;6;3.13;0.9949;10.3;1.00;0.17;0.28;0.29
6.5;213;0.51;12.4;0.051;86;6;3.16;0.9962;9.9;0.25;0.09;0.28;0.35
6.5;121;0.46;1.5;0.041;34;6;3.06;0.99092;10.5;0.33;0.28;0.31;0.17
7.4;95;0.47;9.1;0.047;29;7;3.16;0.99532;9.8;0.10;0.18;0.28;0.2
6.9;131;0.34;12;0.067;24;5;3.19;0.99727;9.3;0.13;0.20;0.42;0.615
6.8;100;0.47;4.8;0.034;25;7;3.08;0.99026;12.4;0.33;0.63;0.28;0.32
6.3;145;0.42;12.3;0.048;54;6;3.16;0.99668;9.3;0.11;0.05;0.19;0.2
6.9;131;0.34;12;0.067;24;5;3.19;0.99727;9.3;0.33;0.17;0.42;0.615
8;165;0.72;2.7;0.048;49;6;3.26;0.9952;9.5;0.13;0.66;0.28;0.23
6.7;45;0.4;3.6;0.034;9;6;3.08;0.99144;10.5;0.17;0.75;0.33;0.27
6.7;45;0.4;3.6;0.034;9;6;3.08;0.99144;10.5;0.17;0.53;0.33;0.27
6.7;99;0.53;4.3;0.032;19;7;3.26;0.99015;12.8;0.33;0.16;0.22;0.44
7;142;0.45;1.8;0.045;44;6;2.99;0.9914;10.8;0.50;0.10;0.3;0.34
7.3;127;0.55;11.8;0.057;48;6;3.1;0.99693;10;1.00;0.30;0.33;0.26
5.8;170;0.9;1.8;0.045;96;8;3.38;0.99035;11.8;0.50;0.82;0.34;0.17
7.3;127;0.55;11.8;0.057;48;6;3.1;0.99693;10;0.10;0.22;0.33;0.26
5.8;170;0.9;1.8;0.045;96;8;3.38;0.99035;11.8;0.17;0.10;0.34;0.17
6.8;108;0.66;1.4;0.036;38;6;3.19;0.99006;12;0.33;0.62;0.36;0.17
7.1;138;0.46;6.6;0.025;15;6;3.18;0.99126;12.6;0.13;0.70;0.3;0.43
5.8;70;0.4;1.55;0.026;15;8;3.37;0.98994;11.9;0.13;0.26;0.27;0.315
5.9;28;0.32;0.7;0.027;5;5;3.13;0.98985;10.6;0.17;0.03;0.28;0.17
6.6;240;0.48;6.4;0.082;47;5;3.42;0.9971;9.2;0.33;0.31;0.18;0.34
8.6;240;0.52;11.8;0.059;42;6;3.17;0.99882;10;1.00;0.89;0.34;0.33
5.6;97;0.46;4.3;0.038;18;5;3.36;0.99477;9.2;0.14;0.97;0.26;0.12
5.8;103;0.47;5.1;0.039;19;6;3.36;0.99478;9.3;0.25;0.58;0.26;0.13
7.7;144;0.54;5.8;0.055;25;6;3.24;0.99576;10.2;0.25;0.22;0.35;0.18
7.7;148;0.54;5.9;0.054;25;6;3.25;0.99578;10.2;0.10;0.63;0.36;0.16
6;154;0.51;1.3;0.06;51;5;3.14;0.99354;8.7;1.00;0.82;0.15;0.26
7.3;163;0.42;1.4;0.05;8;5;3.24;0.99244;10.7;0.20;0.91;0.35;0.32
7.7;119;0.34;1.2;0.048;4;6;3.18;0.99084;12.1;0.13;0.54;0.34;0.3
7.9;152;0.37;7.4;0.05;58;6;3.12;0.99612;9.5;0.20;0.30;0.3;0.16
6.4;118;0.37;10.8;0.028;17;6;3.18;0.99356;11.2;0.20;0.53;0.29;0.27
6.9;95;0.59;1.8;0.034;36;6;2.93;0.98952;12;0.20;0.53;0.37;0.16
7.9;152;0.37;7.4;0.05;58;6;3.12;0.99612;9.5;0.25;0.94;0.3;0.16
7.7;119;0.34;1.2;0.048;4;6;3.18;0.99084;12.1;0.33;0.29;0.34;0.3
7.3;163;0.42;1.4;0.05;8;5;3.24;0.99244;10.7;0.20;0.89;0.35;0.32
6.4;228;0.54;14.4;0.048;29;7;3.26;0.99955;8.8;0.10;0.02;0.44;0.44
6.3;135;0.66;1.7;0.052;36;6;3.8;0.99374;10.8;0.13;0.94;0.24;0.2
6.2;138;0.37;3.6;0.026;39;7;3.31;0.9892;13.1;1.00;0.13;0.32;0.29
7.6;93;0.6;3.6;0.035;22;7;3.08;0.99144;12.5;0.25;0.36;0.32;0.39
7;131;0.33;10.05;0.045;37;8;3.09;0.99352;11.7;0.10;0.81;0.32;0.36
7;131;0.33;10.05;0.045;37;8;3.09;0.99352;11.7;1.00;0.09;0.32;0.36
7;135;0.33;10.5;0.045;35;8;3.09;0.9935;11.6;0.13;0.85;0.32;0.36
7.6;111;0.54;1.9;0.043;24;6;3.29;0.99237;11.3;0.13;0.77;0.36;0.2
7.6;93;0.6;3.6;0.035;22;7;3.08;0.99144;12.5;0.14;0.85;0.32;0.39
6.7;103;0.45;1.65;0.025;42;5;3.11;0.99022;11.4;0.14;0.80;0.37;0.2
6.2;117;0.44;1.9;0.036;4;5;3.4;0.99032;12.2;0.17;0.33;0.34;0.235
7.8;160;0.69;65.8;0.074;8;6;3.39;1.03898;11.7;0.11;0.49;0.6;0.965
7.1;211;0.59;6.85;0.053;32;6;3.31;0.99587;10.4;0.25;0.33;0.31;0.2
7.1;211;0.59;7.4;0.053;32;6;3.31;0.99587;10.4;0.13;0.15;0.31;0.2
7.1;211;0.59;7.4;0.053;32;6;3.31;0.99587;10.4;0.50;0.20;0.31;0.2
6.4;157;0.5;20.2;0.083;35;5;3.17;0.99976;9.1;0.14;0.70;0.25;0.24
8;70;0.41;11;0.034;8;6;3.05;0.99354;12.2;0.17;0.10;0.36;0.3
